Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
82.000	0.39226	1181.0	0.00084676	-147.28	-147.24	2.7812	0.96124	1.6836	971.26	-0.033614	0.00024549	0.16263	0.015222	1.8709	0.53450	52.376	73.342	5.4713	0.69069	0.97196	170.29	3.1877	6.3062e-06	0.0072407
83.000	0.44530	1176.2	0.00085020	-145.59	-145.56	2.8016	0.95708	1.6849	963.14	-0.033375	0.00023819	0.16120	0.014965	2.1016	0.47582	52.965	74.154	5.4487	0.68851	0.97092	171.23	3.0294	6.3849e-06	0.0073482
84.000	0.50385	1171.4	0.00085369	-143.91	-143.87	2.8218	0.95299	1.6863	955.01	-0.033122	0.00023124	0.15976	0.014709	2.3537	0.42487	53.549	74.956	5.4268	0.68636	0.97004	172.15	2.8921	6.4636e-06	0.0074564
85.000	0.56831	1166.6	0.00085721	-142.22	-142.18	2.8417	0.94895	1.6880	946.87	-0.032856	0.00022462	0.15833	0.014455	2.6283	0.38047	54.126	75.749	5.4055	0.68427	0.96937	173.06	2.7728	6.5423e-06	0.0075654
86.000	0.63906	1161.7	0.00086079	-140.54	-140.48	2.8614	0.94496	1.6897	938.71	-0.032576	0.00021830	0.15689	0.014201	2.9268	0.34167	54.697	76.532	5.3849	0.68227	0.96894	173.95	2.6688	6.6209e-06	0.0076752
87.000	0.71653	1156.9	0.00086441	-138.85	-138.79	2.8810	0.94103	1.6917	930.53	-0.032281	0.00021226	0.15545	0.013947	3.2506	0.30764	55.261	77.304	5.3648	0.68041	0.96880	174.82	2.5778	6.6995e-06	0.0077860
88.000	0.80114	1152.0	0.00086808	-137.16	-137.09	2.9003	0.93716	1.6939	922.34	-0.031971	0.00020648	0.15401	0.013695	3.6010	0.27770	55.817	78.065	5.3452	0.67868	0.96898	175.67	2.4979	6.7782e-06	0.0078976
89.000	0.89331	1147.0	0.00087180	-135.47	-135.39	2.9194	0.93334	1.6963	914.13	-0.031644	0.00020094	0.15256	0.013443	3.9793	0.25130	56.365	78.814	5.3262	0.67714	0.96952	176.50	2.4275	6.8568e-06	0.0080103
90.000	0.99350	1142.1	0.00087558	-133.77	-133.69	2.9383	0.92957	1.6989	905.89	-0.031302	0.00019564	0.15112	0.013193	4.3871	0.22794	56.905	79.551	5.3076	0.67578	0.97046	177.30	2.3649	6.9355e-06	0.0081241
91.000	1.1022	1137.1	0.00087941	-132.08	-131.98	2.9571	0.92586	1.7016	897.64	-0.030942	0.00019056	0.14967	0.012943	4.8258	0.20722	57.437	80.276	5.2896	0.67463	0.97181	178.09	2.3091	7.0143e-06	0.0082390
92.000	1.2197	1132.1	0.00088329	-130.38	-130.27	2.9756	0.92221	1.7047	889.37	-0.030564	0.00018567	0.14822	0.012694	5.2969	0.18879	57.960	80.987	5.2719	0.67370	0.97362	178.85	2.2590	7.0931e-06	0.0083551
93.000	1.3467	1127.1	0.00088724	-128.68	-128.56	2.9940	0.91860	1.7079	881.07	-0.030167	0.00018098	0.14677	0.012446	5.8020	0.17235	58.474	81.685	5.2547	0.67301	0.97589	179.59	2.2135	7.1720e-06	0.0084725
94.000	1.4836	1122.0	0.00089124	-126.98	-126.84	3.0123	0.91506	1.7114	872.75	-0.029752	0.00017646	0.14532	0.012199	6.3426	0.15766	58.978	82.369	5.2379	0.67256	0.97865	180.30	2.1720	7.2510e-06	0.0085912
95.000	1.6308	1116.9	0.00089531	-125.27	-125.12	3.0303	0.91156	1.7151	864.40	-0.029316	0.00017212	0.14387	0.011953	6.9203	0.14450	59.473	83.039	5.2215	0.67236	0.98191	180.99	2.1338	7.3301e-06	0.0087113
96.000	1.7889	1111.8	0.00089945	-123.56	-123.40	3.0482	0.90812	1.7190	856.02	-0.028859	0.00016793	0.14241	0.011707	7.5367	0.13268	59.958	83.694	5.2054	0.67241	0.98571	181.66	2.0983	7.4093e-06	0.0088330
97.000	1.9584	1106.6	0.00090365	-121.85	-121.67	3.0660	0.90473	1.7232	847.61	-0.028380	0.00016388	0.14095	0.011463	8.1937	0.12205	60.432	84.333	5.1897	0.67272	0.99004	182.30	2.0651	7.4887e-06	0.0089562
98.000	2.1397	1101.4	0.00090792	-120.13	-119.93	3.0836	0.90140	1.7277	839.17	-0.027879	0.00015998	0.13949	0.011220	8.8928	0.11245	60.896	84.957	5.1743	0.67329	0.99493	182.91	2.0337	7.5683e-06	0.0090811
99.000	2.3334	1096.2	0.00091226	-118.41	-118.19	3.1011	0.89812	1.7325	830.70	-0.027354	0.00015620	0.13803	0.010977	9.6359	0.10378	61.348	85.564	5.1593	0.67411	1.0004	183.50	2.0039	7.6481e-06	0.0092077
100.00	2.5400	1090.9	0.00091668	-116.68	-116.45	3.1185	0.89490	1.7375	822.19	-0.026804	0.00015256	0.13657	0.010736	10.425	0.095925	61.790	86.155	5.1445	0.67519	1.0064	184.06	1.9753	7.7281e-06	0.0093362
