Kelvin,p,density,v_liquid,v_gas,compressibility factor,h_liquid,h_gas,r,s_liquid,s_gas
540,2.951125031,542.702403,0.00184263,0.075502319,1,155.4718343,376.4483019,0.008133207,0.301452939,0.71066862
541,3.007086215,541.5818236,0.001846443,0.074051531,1,158.6624848,378.8558234,0.008736737,0.307336988,0.714348705
542,3.06386547,540.4561207,0.001850289,0.072632013,1,161.8577972,381.2638033,0.009350995,0.313218461,0.718026591
543,3.121471095,539.3252212,0.001854169,0.071242964,1,165.0577854,383.6721983,0.009976268,0.31909739,0.721702201
544,3.179911441,538.1890505,0.001858083,0.069883607,1,168.2624636,386.0809641,0.010612856,0.324973804,0.725375459
545,3.239194912,537.0475326,0.001862033,0.068553188,1,171.4718465,388.4900559,0.011261069,0.330847736,0.729046285
546,3.299329969,535.9005899,0.001866018,0.067250976,1,174.685949,390.899428,0.011921227,0.336719218,0.732714601
547,3.360325124,534.7481431,0.001870039,0.065976259,1,177.9047866,393.3090341,0.012593661,0.342588282,0.736380325
548,3.422188946,533.5901111,0.001874098,0.064728346,1,181.128375,395.718827,0.013278716,0.348454962,0.740043378
549,3.484930061,532.4264114,0.001878194,0.063506566,1,184.3567306,398.1287586,0.013976748,0.354319291,0.743703678
550,3.54855715,531.2569593,0.001882328,0.062310267,1,187.5898698,400.5387802,0.014688124,0.360181304,0.747361141
551,3.613078953,530.0816687,0.001886502,0.061138816,1,190.82781,402.9488419,0.015413228,0.366041035,0.751015684
552,3.678504266,528.9004513,0.001890715,0.059991597,1,194.0705685,405.3588933,0.016152457,0.371898519,0.754667223
553,3.744841947,527.7132168,0.001894969,0.058868012,1,197.3181635,407.7688828,0.01690622,0.377753792,0.758315671
554,3.812100912,526.5198732,0.001899264,0.057767479,1,200.5706134,410.1787579,0.017674945,0.383606891,0.761960942
555,3.880290139,525.3203261,0.0019036,0.056689434,1,203.8279372,412.5884651,0.018459075,0.389457853,0.765602948
556,3.949418666,524.1144792,0.00190798,0.055633325,1,207.0901546,414.99795,0.019259069,0.395306715,0.769241599
557,4.019495596,522.9022339,0.001912403,0.054598621,1,210.3572855,417.4071569,0.020075405,0.401153516,0.772876804
558,4.090530093,521.6834892,0.001916871,0.053584799,1,213.6293506,419.8160292,0.020908578,0.406998296,0.776508473
559,4.162531388,520.4581419,0.001921384,0.052591357,1,216.906371,422.2245092,0.021759105,0.412841094,0.780136511
560,4.235508776,519.2260864,0.001925943,0.051617801,1,220.1883687,424.6325379,0.02262752,0.418681951,0.783760825
561,4.30947162,517.9872144,0.00193055,0.050663655,1,223.4753658,427.0400552,0.023514381,0.424520908,0.787381317
562,4.384429349,516.7414151,0.001935204,0.049728452,1,226.7673855,429.4469997,0.024420267,0.430358008,0.790997891
563,4.460391464,515.4885751,0.001939907,0.048811741,1,230.0644515,431.8533086,0.025345783,0.436193293,0.794610446
564,4.537367533,514.2285781,0.00194466,0.047913081,1,233.366588,434.258918,0.026291556,0.442026808,0.798218883
565,4.615367198,512.9613049,0.001949465,0.047032045,1,236.6738202,436.6637624,0.027258239,0.447858598,0.801823097
566,4.694400172,511.6866336,0.001954321,0.046168214,1,239.9861738,439.0677749,0.028246516,0.453688708,0.805422986
567,4.774476243,510.4044388,0.001959231,0.045321184,1,243.3036753,441.4708871,0.029257096,0.459517186,0.809018441
568,4.855605275,509.1145923,0.001964194,0.044490559,1,246.626352,443.8730292,0.030290721,0.465344078,0.812609355
569,4.937797208,507.8169624,0.001969213,0.043675955,1,249.9542319,446.2741296,0.031348163,0.471169435,0.816195617
570,5.021062061,506.5114139,0.001974289,0.042876997,1,253.2873442,448.674115,0.032430228,0.476993306,0.819777115
571,5.105409934,505.1978083,0.001979423,0.042093321,1,256.6257184,451.0729106,0.033537761,0.482815743,0.823353733
572,5.190851007,503.8760032,0.001984615,0.041324571,1,259.9693854,453.4704396,0.03467164,0.488636797,0.826925353
573,5.277395544,502.5458525,0.001989868,0.040570401,1,263.3183767,455.8666234,0.035832785,0.494456523,0.830491857
574,5.365053896,501.207206,0.001995183,0.039830476,1,266.6727249,458.2613813,0.037022159,0.500274974,0.834053122
575,5.453836497,499.8599096,0.002000561,0.039104465,1,270.0324637,460.6546308,0.038240766,0.506092209,0.837609021
576,5.543753875,498.5038047,0.002006003,0.03839205,1,273.3976277,463.0462872,0.039489661,0.511908284,0.841159429
577,5.634816644,497.1387283,0.002011511,0.037692919,1,276.7682527,465.4362634,0.040769946,0.517723258,0.844704213
578,5.727035515,495.7645129,0.002017087,0.037006768,1,280.1443755,467.8244703,0.042082777,0.523537193,0.84824324
579,5.820421292,494.380986,0.002022732,0.036333301,1,283.5260341,470.2108164,0.043429364,0.52935015,0.851776372
580,5.914984878,492.9879702,0.002028447,0.03567223,1,286.913268,472.5952074,0.04481098,0.535162194,0.855303468
581,6.010737272,491.5852827,0.002034235,0.035023272,1,290.3061177,474.9775467,0.046228957,0.540973389,0.858824386
582,6.10768958,490.1727354,0.002040097,0.034386154,1,293.7046251,477.3577348,0.047684697,0.546783805,0.862338976
583,6.20585301,488.7501344,0.002046035,0.033760609,1,297.1088336,479.7356695,0.04917967,0.55259351,0.865847088
584,6.305238879,487.3172799,0.002052051,0.033146374,1,300.5187879,482.1112456,0.050715425,0.558402576,0.869348565
585,6.405858611,485.8739659,0.002058147,0.032543197,1,303.9345344,484.4843547,0.05229359,0.564211076,0.872843247
586,6.507723746,484.4199799,0.002064324,0.031950827,1,307.3561212,486.8548854,0.053915878,0.570019086,0.87633097
587,6.61084594,482.9551024,0.002070586,0.031369024,1,310.7835977,489.2227225,0.055584097,0.575826684,0.879811565
588,6.715236967,481.4791071,0.002076933,0.030797549,1,314.2170154,491.5877476,0.057300149,0.581633952,0.883284857
589,6.820908724,479.9917599,0.002083369,0.030236174,1,317.6564277,493.9498385,0.059066044,0.587440971,0.886750667
590,6.927873235,478.4928191,0.002089896,0.029684672,1,321.1018896,496.3088689,0.060883904,0.593247828,0.89020881
591,7.036142651,476.9820346,0.002096515,0.029142823,1,324.5534585,498.6647086,0.062755969,0.599054612,0.893659096
592,7.145729258,475.4591478,0.00210323,0.028610412,1,328.0111937,501.017223,0.06468461,0.604861414,0.897101329
593,7.256645482,473.923891,0.002110043,0.02808723,1,331.4751569,503.3662731,0.066672335,0.61066833,0.900535304
594,7.368903885,472.3759868,0.002116958,0.027573071,1,334.9454123,505.7117148,0.068721801,0.616475456,0.903960814
595,7.48251718,470.8151478,0.002123976,0.027067736,1,338.4220264,508.0533993,0.070835825,0.622282895,0.90737764
596,7.597498229,469.241076,0.002131101,0.026571028,1,341.9050684,510.3911723,0.073017396,0.628090753,0.910785558
597,7.713860047,467.6534621,0.002138336,0.026082756,1,345.3946105,512.7248741,0.07526969,0.633899139,0.914184338
598,7.831615813,466.051985,0.002145683,0.025602732,1,348.8907277,515.0543389,0.07759608,0.639708166,0.917573737
599,7.950778869,464.4363109,0.002153148,0.025130775,1,352.3934983,517.3793949,0.080000159,0.645517953,0.920953507
600,8.07136273,462.8060928,0.002160732,0.024666704,1,355.9030038,519.6998635,0.082485752,0.651328622,0.924323389
